DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
DeliveryDate,1:00,AEEC,22.05,N
DeliveryDate,1:00,AMISTAD_ALL,22.75,N
DeliveryDate,1:00,AMOCOOIL_CC1,21.97,N
DeliveryDate,1:00,AMOCOOIL_CC2,21.97,N
DeliveryDate,1:00,AMOCO_PUN1,21.97,N
DeliveryDate,1:00,AMOCO_PUN2,21.97,N
DeliveryDate,1:00,AMO_AMOCO_1,21.97,N
DeliveryDate,1:00,AMO_AMOCO_2,21.97,N
DeliveryDate,1:00,AMO_AMOCO_5,21.97,N
DeliveryDate,1:00,AMO_AMOCO_G1,21.97,N
DeliveryDate,1:00,AMO_AMOCO_G2,21.97,N
DeliveryDate,1:00,AMO_AMOCO_G3,21.97,N
DeliveryDate,1:00,AMO_AMOCO_S1,21.97,N
DeliveryDate,1:00,AMO_AMOCO_S2,21.97,N
DeliveryDate,1:00,ANACACHO_ANA,22.75,N
DeliveryDate,1:00,ATK_ATKINSG7,22.19,N
DeliveryDate,1:00,AUSTPL_ALL,22.31,N
DeliveryDate,1:00,AZ_ALL,22,N
DeliveryDate,1:00,BAC_RN_ALL,21.97,N
DeliveryDate,1:00,BAFFIN_ALL,23.81,N
DeliveryDate,1:00,BASTEN_CC1,22.3,N
DeliveryDate,1:00,BASTEN_CCU,22.3,N
DeliveryDate,1:00,BBSES_UNIT1,22.13,N
DeliveryDate,1:00,BBSES_UNIT2,22.13,N
DeliveryDate,1:00,BCATWD_WD_1,22.18,N
DeliveryDate,1:00,BFM_HYD_ST1,21.99,N
DeliveryDate,1:00,BLSMT1_5_A_6,22.14,N
DeliveryDate,1:00,BOOTLEG_UN1,22.35,N
DeliveryDate,1:00,BORDAS_345,23.31,N
DeliveryDate,1:00,BORDAS_ALL,23.41,N
DeliveryDate,1:00,BOSQUESW_CC1,22.18,N
DeliveryDate,1:00,BOSQUESW_CC2,22.18,N
DeliveryDate,1:00,BOSQ_BSQSU_5,22.18,N
DeliveryDate,1:00,BOSQ_BSQS_12,22.18,N
DeliveryDate,1:00,BOSQ_BSQS_34,22.18,N
DeliveryDate,1:00,BRAUNIG_CC1,22.58,N
DeliveryDate,1:00,BRAUNIG_VHB1,22.54,N
DeliveryDate,1:00,BRAUNIG_VHB2,22.54,N
DeliveryDate,1:00,BRAUNIG_VHB3,22.55,N
DeliveryDate,1:00,BRAZ_WND_ALL,22.12,N
DeliveryDate,1:00,BRA_AVR1_CT2,22.58,N
DeliveryDate,1:00,BRA_AVR_CST1,22.58,N
DeliveryDate,1:00,BRISCOE_WIND,22.08,N
DeliveryDate,1:00,BRTSW_BCW1,22.18,N
DeliveryDate,1:00,BR_VHB6CT5_6,22.54,N
DeliveryDate,1:00,BR_VHB6CT7_8,22.54,N
DeliveryDate,1:00,BSF_PUN1,21.88,N
DeliveryDate,1:00,BSF_PUN2,21.88,N
DeliveryDate,1:00,BTE_BTE_G1,22.01,N
DeliveryDate,1:00,BTE_BTE_G2,22.01,N
DeliveryDate,1:00,BTE_BTE_G3,22.01,N
DeliveryDate,1:00,BTE_BTE_G4,22.01,N
DeliveryDate,1:00,BTE_CC1,22.01,N
DeliveryDate,1:00,BTE_PUN1,22.01,N
DeliveryDate,1:00,BTE_PUN2,22.01,N
DeliveryDate,1:00,BUCHAN_ALL,22.31,N
DeliveryDate,1:00,BUCKTHRN_RN,22.17,N
DeliveryDate,1:00,BUFF_GAP_ALL,22.26,N
DeliveryDate,1:00,BULLCRK_1_2,22.51,N
DeliveryDate,1:00,BVE_CC1,21.97,N
DeliveryDate,1:00,BVE_UNIT1,21.97,N
DeliveryDate,1:00,BVE_UNIT2,21.97,N
DeliveryDate,1:00,BVE_UNIT3,21.97,N
DeliveryDate,1:00,BYU_BYU_1,21.99,N
DeliveryDate,1:00,BYU_BYU_12,21.99,N
DeliveryDate,1:00,BYU_BYU_34,21.99,N
DeliveryDate,1:00,BYU_BYU_G8,21.99,N
DeliveryDate,1:00,BYU_CC1,21.99,N
DeliveryDate,1:00,BYU_PUN1,21.99,N
DeliveryDate,1:00,BYU_PUN2,21.99,N
DeliveryDate,1:00,BYU_PUN3,21.99,N
DeliveryDate,1:00,BYU_PUN4,21.99,N
DeliveryDate,1:00,B_DAVIS_3,24.35,N
DeliveryDate,1:00,B_DAVIS_4,24.35,N
DeliveryDate,1:00,B_DAVIS_CC1,24.35,N
DeliveryDate,1:00,B_D_B_DAVIG1,24.35,N
DeliveryDate,1:00,B_D_B_DAVIG2,24.35,N
DeliveryDate,1:00,CALAVER_JKS1,22.6,N
DeliveryDate,1:00,CALAVER_JKS2,22.6,N
DeliveryDate,1:00,CALAVER_JTD1,22.54,N
DeliveryDate,1:00,CALAVER_JTD2,22.54,N
DeliveryDate,1:00,CALAVER_OWS1,22.54,N
DeliveryDate,1:00,CALAVER_OWS2,22.54,N
DeliveryDate,1:00,CALHOUN_ALL,60.38,N
DeliveryDate,1:00,CALLAHA_WND1,22.25,N
DeliveryDate,1:00,CAL_ALL,22,N
DeliveryDate,1:00,CAL_CALGT1,22,N
DeliveryDate,1:00,CAL_CALSTG1,22,N
DeliveryDate,1:00,CAL_CC1,22,N
DeliveryDate,1:00,CAL_PUN1,22,N
DeliveryDate,1:00,CAL_PUN2,22,N
DeliveryDate,1:00,CAMWIND_RN,23.76,N
DeliveryDate,1:00,CAPRIDG4_CR4,22.31,N
DeliveryDate,1:00,CAPRIDGE_ALL,22.31,N
DeliveryDate,1:00,CARBN_BSP_1,22.36,N
DeliveryDate,1:00,CBECII_1,21.94,N
DeliveryDate,1:00,CBECII_2,21.94,N
DeliveryDate,1:00,CBECII_CC3,21.94,N
DeliveryDate,1:00,CBEC_ALL,21.6,N
DeliveryDate,1:00,CBEC_CC1,21.6,N
DeliveryDate,1:00,CBEC_CC2,21.6,N
DeliveryDate,1:00,CBY4_ALL,22.01,N
DeliveryDate,1:00,CBY4_CC1,22.01,N
DeliveryDate,1:00,CBY_CBY_G1,22.01,N
DeliveryDate,1:00,CBY_CBY_G2,22,N
DeliveryDate,1:00,CCEC_CC1,24.54,N
DeliveryDate,1:00,CCEC_GT1,24.54,N
DeliveryDate,1:00,CCEC_GT2,24.54,N
DeliveryDate,1:00,CCEC_PUN1,24.54,N
DeliveryDate,1:00,CCEC_PUN2,24.54,N
DeliveryDate,1:00,CCEC_ST1,24.54,N
DeliveryDate,1:00,CEDROHI_CHW1,23.45,N
DeliveryDate,1:00,CHAMON_UN1,22.01,N
DeliveryDate,1:00,CHAMON_UN2,22.01,N
DeliveryDate,1:00,CHEDPW_GT2,22.02,N
DeliveryDate,1:00,CHE_CC1,22.01,N
DeliveryDate,1:00,CHE_LYD,22,N
DeliveryDate,1:00,CHE_LYD2,22,N
DeliveryDate,1:00,CHE_PUN1,22,N
DeliveryDate,1:00,CHE_PUN2,22,N
DeliveryDate,1:00,COL_COLETOG1,22.79,N
DeliveryDate,1:00,COTPLNS_RN,22.05,N
DeliveryDate,1:00,COTTON_PAP2,25.35,N
DeliveryDate,1:00,CPSES_UNIT1,22.17,N
DeliveryDate,1:00,CPSES_UNIT2,22.17,N
DeliveryDate,1:00,CSC_CSECG1_2,22.08,N
DeliveryDate,1:00,CTL_GT_102,21.99,N
DeliveryDate,1:00,CTL_GT_103,21.99,N
DeliveryDate,1:00,CTL_GT_104,21.99,N
DeliveryDate,1:00,CTL_PUN1,21.99,N
DeliveryDate,1:00,CTL_PUN2,21.99,N
DeliveryDate,1:00,CTL_PUN3,21.99,N
DeliveryDate,1:00,CTL_ST_101,21.99,N
DeliveryDate,1:00,CVC_CC1,22.02,N
DeliveryDate,1:00,CVC_CVCG1_5,22.02,N
DeliveryDate,1:00,CVC_CVC_G2,22.02,N
DeliveryDate,1:00,CVC_CVC_G3,22.02,N
DeliveryDate,1:00,DANSBY_ALL,22.19,N
DeliveryDate,1:00,DC2SES_ALL,22.17,N
DeliveryDate,1:00,DC_E,22.16,N
DeliveryDate,1:00,DC_L,23.32,N
DeliveryDate,1:00,DC_N,22.15,N
DeliveryDate,1:00,DC_R,23.71,N
DeliveryDate,1:00,DC_S,23.25,N
DeliveryDate,1:00,DDPEC_CC1,21.99,N
DeliveryDate,1:00,DDPEC_GT1,21.99,N
DeliveryDate,1:00,DDPEC_GT2,21.99,N
DeliveryDate,1:00,DDPEC_GT3,21.99,N
DeliveryDate,1:00,DDPEC_GT4,21.99,N
DeliveryDate,1:00,DDPEC_GT6,21.99,N
DeliveryDate,1:00,DDPEC_ST1,21.99,N
DeliveryDate,1:00,DECKER_DPG1,22.31,N
DeliveryDate,1:00,DECKER_DPG2,22.31,N
DeliveryDate,1:00,DECKER_GT,22.3,N
DeliveryDate,1:00,DENISON_G1_2,22.16,N
DeliveryDate,1:00,DERMOTT_ALL,21.97,N
DeliveryDate,1:00,DIB_CC1,22,N
DeliveryDate,1:00,DIB_DIB_G1,22,N
DeliveryDate,1:00,DIB_DIB_G2,22,N
DeliveryDate,1:00,DIB_DIB_G3,22,N
DeliveryDate,1:00,DIB_DIB_G4,22,N
DeliveryDate,1:00,DIB_PUN1,22,N
DeliveryDate,1:00,DIB_PUN2,22,N
DeliveryDate,1:00,DOWGEN_PUN1,21.92,N
DeliveryDate,1:00,DOWGEN_PUN2,21.92,N
DeliveryDate,1:00,DOWGEN_PUN3,21.92,N
DeliveryDate,1:00,DOW_61_2_63,21.92,N
